text,toxic
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
You are stupid and useless,1
I completely disagree with your opinion,0
This is the worst thing ever,1
Thank you for your help,0
You are an idiot,1
Great job on the project,0
This news is totally fake and misleading,1
I respect your perspective,0
